ID,Variance
Store_6_SKU621,307454.418496996
Store_9_SKU622,278898.09839456313
Store_3_SKU76,227645.5610164483
Store_6_SKU446,209164.90800748544
Store_3_SKU72,191401.86575396435
Store_17_SKU584,183346.31182901602
Store_16_SKU318,150072.59411011531
Store_6_SKU381,148050.27765192554
Store_9_SKU77,141531.91854624252
Store_9_SKU53,133528.54742440654
Store_9_SKU604,130243.68521619232
Store_6_SKU604,117180.7701172068
Store_9_SKU610,112689.31832955776
Store_9_SKU625,109878.14517876491
Store_9_SKU61,98146.93322170782
Store_3_SKU214,82777.69161824089
Store_2_SKU63,82335.15177779966
Store_6_SKU389,81193.86506451294
Store_13_SKU364,77615.67428346303
Store_4_SKU41,75287.34935487047
Store_9_SKU8,69601.06717226437
Store_3_SKU60,68725.75110804688
Store_3_SKU637,67892.14005712597
Store_11_SKU127,67502.94346498571
Store_6_SKU238,61655.45119669066
Store_2_SKU78,58696.54870481633
Store_9_SKU615,58350.68393578251
Store_6_SKU13,55716.657441150375
Store_17_SKU88,54695.61252831675
Store_6_SKU382,53699.57037328867
Store_10_SKU1,53295.59598148331
Store_11_SKU130,53176.34393775237
Store_2_SKU59,53008.74953215797
Store_6_SKU240,52700.45759873928
Store_6_SKU32,52660.75307790801
Store_4_SKU534,50740.273515217195
Store_4_SKU620,49158.18753077906
Store_6_SKU378,47750.60287599724
Store_3_SKU73,47613.80202895698
Store_6_SKU125,46830.31291243967
Store_11_SKU84,45566.28494041169
Store_15_SKU379,45147.802127450035
Store_6_SKU189,44820.3531960997
Store_4_SKU425,44056.15286122325
Store_19_SKU661,43263.4082537181
Store_3_SKU213,43167.92396336057
Store_4_SKU426,42912.70885452576
Store_9_SKU79,41396.50083719097
Store_11_SKU372,40652.316753668856
Store_18_SKU22,40445.73928888013
Store_2_SKU602,40391.96730030533
Store_5_SKU712,37999.37062937063
Store_21_SKU440,37522.627400768244
Store_3_SKU480,37503.119570570285
Store_6_SKU9,36284.675366886615
Store_9_SKU633,35817.497389934004
Store_15_SKU228,35549.629764601596
Store_4_SKU4,34946.92337240224
Store_2_SKU636,34919.47168324632
Store_2_SKU601,34918.77031419284
Store_3_SKU756,34666.96217866641
Store_4_SKU642,34338.24386880726
Store_6_SKU252,33878.19866049443
Store_2_SKU606,32799.77060967201
Store_11_SKU274,32792.942972520425
Store_21_SKU759,32380.86575396434
Store_6_SKU18,32063.428247808526
Store_6_SKU371,31314.963656062246
Store_3_SKU212,30951.412882891746
Store_3_SKU209,30661.0301388752
Store_21_SKU57,30595.2232837585
Store_5_SKU10,29563.52811976757
Store_6_SKU228,29501.61952132376
Store_6_SKU390,29060.77612528317
Store_4_SKU17,28601.263271939322
Store_10_SKU233,28496.772284053975
Store_6_SKU385,27886.76637447059
Store_19_SKU589,27842.896483797897
Store_7_SKU155,27560.96345907614
Store_6_SKU391,27411.89067270756
Store_17_SKU263,26545.499556781255
Store_18_SKU17,26032.94799566632
Store_5_SKU249,25905.355756919147
Store_5_SKU709,25287.198660494447
Store_6_SKU14,24610.73938737319
Store_9_SKU666,24188.811779769523
Store_11_SKU126,23548.281000689454
Store_2_SKU80,23301.566630552552
Store_16_SKU588,22316.680390032507
Store_20_SKU326,21776.90475721462
Store_3_SKU202,21028.687777011728
Store_17_SKU16,21012.956663055247
Store_4_SKU445,20760.407761252838
Store_9_SKU69,20379.378213335964
Store_16_SKU312,20344.281493154736
Store_4_SKU738,19778.29774450903
Store_7_SKU667,19771.519353885546
Store_17_SKU438,19695.713385206345
Store_17_SKU216,19587.853540825374
Store_11_SKU410,19483.492268295096
Store_3_SKU75,19469.862799172653
Store_3_SKU518,19159.774056928985
Store_16_SKU302,19044.95597360386
Store_11_SKU135,18246.290160543685
Store_11_SKU141,18126.52368758004
Store_6_SKU3,18031.576676844274
Store_17_SKU264,17940.274500147745
Store_17_SKU4,17882.899635575694
Store_17_SKU204,17572.173446272034
Store_4_SKU368,16867.696050428443
Store_9_SKU12,16374.614793657043
Store_16_SKU84,16360.58662464296
Store_5_SKU285,16317.622771594615
Store_5_SKU704,16315.045503791973
Store_9_SKU603,15960.784201713781
Store_11_SKU336,15915.594898059686
Store_5_SKU713,15906.55510686496
Store_15_SKU470,15265.583177385995
Store_21_SKU214,15144.740076824586
Store_16_SKU293,15138.797498276366
Store_3_SKU204,15097.364325815039
Store_8_SKU355,15059.509603072971
Store_9_SKU14,15025.222200334889
Store_21_SKU32,14814.485866246434
Store_8_SKU16,14582.85600315178
Store_16_SKU299,14018.975081256765
Store_4_SKU428,13944.345021176008
Store_18_SKU133,13746.730326012013
Store_4_SKU449,13627.126071111983
Store_14_SKU129,13497.918053777208
Store_11_SKU121,13312.598148330555
Store_21_SKU208,13310.639613907213
Store_1_SKU300,13164.430217669656
Store_5_SKU298,13050.067270757414
Store_10_SKU482,12911.363045405304
Store_17_SKU442,12125.703535900722
Store_5_SKU36,11906.147838077419
Store_5_SKU32,11852.76164680389
Store_16_SKU295,11737.484585836692
Store_5_SKU377,11414.713385206343
Store_9_SKU744,11405.297744509013
Store_10_SKU645,11399.54742440658
Store_15_SKU716,11326.457303260124
Store_3_SKU484,11298.864966019897
Store_9_SKU3,11243.056830493451
Store_19_SKU94,11177.950654978831
Store_5_SKU84,11129.025805180732
Store_19_SKU219,11098.5147247119
Store_16_SKU294,10941.663055254607
Store_16_SKU18,10937.548704816312
Store_11_SKU47,10846.294986703431
Store_9_SKU626,10665.582093962379
Store_13_SKU388,10649.82350044322
Store_5_SKU286,10648.512754850777
Store_16_SKU708,10353.943464985718
Store_10_SKU241,10225.397714961093
Store_19_SKU570,10179.04373091697
Store_14_SKU326,10080.966512360874
Store_1_SKU591,9938.73830394957
Store_16_SKU292,9866.517974982764
Store_14_SKU336,9857.99980301389
Store_14_SKU142,9756.477001871366
Store_2_SKU734,9709.891756131188
Store_15_SKU729,9490.00787944449
Store_10_SKU563,9409.208017334777
Store_2_SKU17,9340.829705505757
Store_10_SKU505,9291.541022357931
Store_3_SKU358,9284.676548803302
Store_14_SKU346,9211.245149216982
Store_12_SKU129,9139.13523096622
Store_16_SKU285,9085.254013592037
Store_5_SKU387,8838.65231951148
Store_15_SKU333,8788.67152565744
Store_3_SKU511,8756.45947010736
Store_11_SKU193,8602.547227420466
Store_10_SKU491,8541.233822515514
Store_5_SKU89,8275.91440953413
Store_10_SKU245,8163.588791490193
Store_11_SKU682,8120.8548212351025
Store_9_SKU469,8080.263074953217
Store_13_SKU225,8043.56485767753
Store_11_SKU120,7919.284940411699
Store_1_SKU590,7769.305328474339
Store_12_SKU230,7747.548606323256
Store_9_SKU16,7582.610262976463
Store_10_SKU201,7536.622279129319
Store_18_SKU375,7529.916970353592
Store_10_SKU478,7450.951541416329
Store_10_SKU662,7387.563872746976
Store_11_SKU155,7137.683935782524
Store_11_SKU271,7079.462917364324
Store_5_SKU721,6942.816310450114
Store_10_SKU306,6804.867625332414
Store_15_SKU675,6665.804294297251
Store_10_SKU503,6577.945139367677
Store_1_SKU177,6540.832955776617
Store_5_SKU392,6505.251452772577
Store_11_SKU470,6496.921304048062
Store_21_SKU444,6461.514921698018
Store_5_SKU720,6380.743721067665
Store_1_SKU307,6260.608884073673
Store_15_SKU36,6232.111986604944
Store_3_SKU537,6139.633605830792
Store_18_SKU643,5921.949374569089
Store_14_SKU137,5831.939623756527
Store_2_SKU211,5806.990347680486
Store_18_SKU644,5801.560622476117
Store_10_SKU488,5725.683935782529
Store_15_SKU673,5614.717718900814
Store_9_SKU67,5579.82054565153
Store_13_SKU664,5572.61154338619
Store_3_SKU516,5560.49059391313
Store_18_SKU96,5551.4063823500455
Store_5_SKU93,5347.214616369545
Store_3_SKU498,5342.629272136317
Store_13_SKU195,5328.250369348959
Store_1_SKU370,5255.383925933223
Store_10_SKU354,5049.199152959716
Store_21_SKU536,4952.860238353193
Store_4_SKU741,4913.827834137694
Store_13_SKU565,4897.896483797892
Store_17_SKU236,4725.512853343839
Store_1_SKU239,4672.2330345710625
Store_5_SKU34,4579.829902491876
Store_4_SKU92,4527.2860238353205
Store_20_SKU48,4492.044223382251
Store_4_SKU431,4425.242785383632
Store_12_SKU47,4394.9729144095345
Store_17_SKU209,4386.243868807247
Store_15_SKU733,4380.574706983158
Store_4_SKU448,4375.007879444495
Store_11_SKU143,4358.966216881709
Store_10_SKU255,4221.37062937063
Store_10_SKU253,4217.850881512853
Store_21_SKU204,4214.738303949569
Store_21_SKU119,4175.703535900717
Store_15_SKU505,4163.77080665813
Store_13_SKU569,4099.99921205555
Store_10_SKU487,4001.054565153157
Store_10_SKU530,3997.5736235595386
Store_10_SKU504,3982.149315473259
Store_10_SKU498,3975.749729144094
Store_10_SKU485,3835.094750320101
Store_11_SKU675,3816.996848222201
Store_6_SKU466,3798.5973603860925
Store_4_SKU511,3792.6967398798392
Store_21_SKU226,3762.934206638433
Store_15_SKU736,3753.514035260514
Store_21_SKU517,3740.1077514035255
Store_14_SKU345,3718.713976164682
Store_5_SKU267,3703.238156209985
Store_5_SKU269,3697.0069930069944
Store_10_SKU28,3485.4117994681355
Store_1_SKU96,3453.6765488033097
Store_3_SKU481,3382.5422042745986
Store_18_SKU170,3381.975179749828
Store_11_SKU522,3370.073771299124
Store_10_SKU254,3332.1402541120865
Store_11_SKU748,3309.553924948289
Store_4_SKU459,3257.741160248204
Store_11_SKU322,3212.3049345021154
Store_16_SKU313,3207.1235102925257
Store_4_SKU458,3205.0263961390697
Store_10_SKU493,3189.900620506255
Store_5_SKU277,3169.583177385995
Store_15_SKU717,3143.885255589481
Store_1_SKU169,3142.434748350241
Store_6_SKU179,3099.8802324436147
Store_10_SKU229,3094.597458879152
Store_8_SKU66,3075.661183886534
Store_16_SKU304,3055.4854722742043
Store_18_SKU329,3046.322663252239
Store_6_SKU6,3017.581896976264
Store_12_SKU332,2891.983847138776
Store_1_SKU46,2883.6147936570474
Store_4_SKU446,2876.5486063232547
Store_16_SKU281,2823.73544765094
Store_12_SKU107,2806.324436127252
Store_9_SKU448,2794.0795823894414
Store_16_SKU753,2753.1124790702243
Store_20_SKU52,2734.1918644735556
Store_10_SKU729,2729.3676745789417
Store_15_SKU478,2685.8573820545644
Store_21_SKU53,2666.3791982665216
Store_4_SKU752,2635.782330345709
Store_11_SKU674,2574.8301979710427
Store_15_SKU551,2571.1649758692015
Store_16_SKU360,2511.0250172362867
Store_1_SKU580,2426.3649167733674
Store_10_SKU477,2398.7920811582776
Store_9_SKU90,2389.0453068058714
Store_14_SKU334,2315.3708263567432
Store_11_SKU98,2298.9147050132956
Store_5_SKU395,2253.079976361667
Store_18_SKU656,2236.053974194819
Store_6_SKU1,2205.540923864868
Store_9_SKU54,2191.7722840539745
Store_4_SKU455,2153.069142125479
Store_21_SKU438,2103.3080862799156
Store_1_SKU95,2097.350044321876
Store_3_SKU557,2069.525460455038
Store_8_SKU628,2063.089136215897
Store_4_SKU536,2038.3911159263262
Store_10_SKU39,1974.2994188909672
Store_1_SKU269,1971.1222298827938
Store_21_SKU477,1936.0514133753563
Store_8_SKU135,1935.309268196591
Store_11_SKU144,1884.8448734364224
Store_12_SKU470,1881.3309366689657
Store_1_SKU285,1849.3782133359596
Store_10_SKU745,1842.2861223283767
Store_10_SKU226,1825.0804688269484
Store_11_SKU118,1788.5244755244753
Store_1_SKU272,1770.5743130109336
Store_5_SKU393,1704.481926524181
Store_1_SKU94,1682.165763813652
Store_20_SKU340,1641.0954397714952
Store_20_SKU274,1618.219738008471
Store_10_SKU497,1553.7253028661487
Store_10_SKU29,1553.4808431005615
Store_15_SKU43,1536.947995666306
Store_16_SKU316,1534.704028366
Store_10_SKU37,1505.4551364128833
Store_19_SKU2,1482.2669161824092
Store_16_SKU54,1479.293903279818
Store_21_SKU519,1468.8431990544668
Store_5_SKU501,1432.220427459863
Store_4_SKU461,1425.1326701467533
Store_8_SKU293,1407.0197971043044
Store_11_SKU679,1328.2453462030933
Store_1_SKU92,1313.6880724908904
Store_2_SKU291,1300.8443809711418
Store_4_SKU532,1276.0068945139371
Store_12_SKU52,1228.3802816901411
Store_12_SKU119,1223.957549492761
Store_17_SKU164,1198.3920023638334
Store_10_SKU206,1173.1465576676846
Store_14_SKU343,1165.7722840539736
Store_16_SKU296,1150.792081158278
Store_12_SKU714,1104.270658918546
Store_14_SKU585,1101.555106864966
Store_9_SKU197,1081.196493647198
Store_1_SKU99,1077.210479661184
Store_20_SKU273,1063.223579237664
Store_11_SKU124,1055.0544666601024
Store_21_SKU532,1038.6592140254115
Store_6_SKU181,1035.656653205949
Store_10_SKU502,1014.5469319412983
Store_8_SKU33,981.7150595882995
Store_18_SKU162,978.6986112479077
Store_4_SKU651,975.8375849502606
Store_2_SKU305,972.7560326996938
Store_11_SKU663,952.1030237368273
Store_1_SKU176,936.476804885255
Store_13_SKU659,917.3800847040281
Store_5_SKU28,890.5357037328869
Store_17_SKU31,882.5875110804684
Store_4_SKU457,882.1538461538461
Store_18_SKU216,853.87245149217
Store_13_SKU175,849.8801339505563
Store_6_SKU188,834.3587117108241
Store_1_SKU354,826.9434649857186
Store_18_SKU256,823.280606717227
Store_13_SKU193,811.8405397419484
Store_10_SKU494,808.2565744115038
Store_4_SKU643,808.1638924455827
Store_18_SKU167,807.0609672018124
Store_19_SKU447,796.8237959223877
Store_17_SKU139,785.1669457303258
Store_12_SKU508,756.5627893233527
Store_10_SKU416,753.576775337339
Store_6_SKU462,705.8583669851274
Store_10_SKU199,694.2522407170302
Store_10_SKU499,693.9127351521716
Store_12_SKU684,688.4348468432976
Store_12_SKU532,686.2485964739484
Store_15_SKU523,678.5075347188025
Store_4_SKU653,663.6856101644833
Store_11_SKU723,654.4782822810994
Store_10_SKU248,645.0097508125676
Store_20_SKU263,636.7597754358319
Store_19_SKU11,625.2080173347778
Store_1_SKU448,620.3694474539545
Store_18_SKU159,615.1948192652419
Store_15_SKU525,609.450113267014
Store_14_SKU145,605.415345218162
Store_18_SKU450,599.8790505269376
Store_1_SKU87,582.0783019797102
Store_5_SKU719,581.4013592041762
Store_20_SKU576,577.0762336255294
Store_12_SKU675,575.4526740864768
Store_13_SKU48,574.155422042746
Store_1_SKU348,572.0113267014674
Store_1_SKU101,566.1922584457794
Store_14_SKU349,565.8650645129519
Store_5_SKU188,558.1521717718899
Store_3_SKU193,557.001969861125
Store_9_SKU660,525.3449226829509
Store_13_SKU194,506.6742834630158
Store_10_SKU106,499.6934896089824
Store_18_SKU152,477.9385403329065
Store_15_SKU103,471.3283758495028
Store_12_SKU343,441.1525657441151
Store_10_SKU558,436.4986703437405
Store_15_SKU206,432.81512853343827
Store_14_SKU108,421.8094159361763
Store_18_SKU168,393.8260612626809
Store_8_SKU155,389.0826356741846
Store_11_SKU324,383.3096621688171
Store_5_SKU493,367.96109524278546
Store_18_SKU258,348.4412488919529
Store_12_SKU502,340.72195410223577
Store_10_SKU523,336.04274598640797
Store_16_SKU290,334.8560031517778
Store_14_SKU347,298.6208017334779
Store_6_SKU219,292.9315473259135
Store_17_SKU555,248.02383531961
Store_16_SKU692,235.65921402541113
Store_16_SKU688,234.72914409534138
Store_5_SKU506,230.49867034374083
Store_12_SKU30,229.4598640795823
Store_16_SKU179,229.27331823106474
Store_13_SKU182,227.79877868610254
Store_18_SKU154,225.24278538363035
Store_15_SKU107,224.9621786664039
Store_16_SKU289,215.6190288584656
Store_2_SKU553,213.8183788042943
Store_12_SKU28,212.59135230966217
Store_1_SKU216,207.24918743228605
Store_1_SKU49,181.1261696050428
Store_4_SKU84,180.81158278341374
Store_1_SKU752,153.50300403821538
Store_14_SKU352,150.59942874027382
Store_21_SKU73,141.52043730916964
Store_1_SKU743,137.74953215798294
Store_14_SKU16,135.3194129813848
Store_8_SKU727,133.13897370235395
Store_13_SKU418,127.90190091598538
Store_16_SKU497,124.3423618634886
Store_10_SKU51,124.08263567418493
Store_9_SKU451,121.5840638235005
Store_18_SKU158,117.9114547424407
Store_1_SKU266,117.88781640894318
Store_14_SKU146,109.30749532157981
Store_16_SKU365,106.56672904560234
Store_11_SKU153,106.27893233527038
Store_12_SKU108,105.22584457795725
Store_12_SKU510,97.46419777405697
Store_13_SKU110,94.64040185166948
Store_12_SKU380,93.22348074460756
Store_11_SKU369,87.20289569585346
Store_10_SKU194,81.1890081749237
Store_5_SKU110,80.0032502708559
Store_16_SKU693,76.65960799763612
Store_16_SKU697,76.46459174628191
Store_13_SKU185,74.53570373288682
Store_8_SKU163,73.99507534718805
Store_14_SKU103,71.2511572934108
Store_18_SKU161,70.06402048655566
Store_16_SKU239,67.47650940608683
Store_10_SKU410,61.36954594701076
Store_14_SKU139,57.54368167044224
Store_11_SKU552,50.44577957254018
Store_10_SKU187,46.04688269476999
Store_1_SKU6,44.8622082143209
Store_10_SKU424,43.865064512951854
Store_18_SKU165,41.50684526740868
Store_13_SKU330,36.25943071013495
Store_12_SKU104,31.271249876883694
Store_11_SKU551,30.85383630454052
Store_11_SKU106,25.062050625430917
Store_8_SKU5,23.339998030138887
Store_8_SKU26,22.57894218457599
Store_8_SKU415,20.54870481631044
Store_12_SKU112,18.439180537772096
Store_12_SKU114,18.369841426179455
Store_8_SKU2,17.096523195114745
Store_15_SKU532,15.198660494435149
Store_12_SKU111,13.397419481926534
Store_2_SKU43,11.988476312419978
Store_12_SKU337,11.156899438589575
Store_11_SKU549,9.462720378213337
Store_8_SKU696,8.447552447552443
Store_8_SKU9,8.186151876292724
Store_8_SKU691,7.735447650940606
Store_12_SKU113,7.257854821235102
Store_1_SKU274,6.439968482222
Store_10_SKU413,6.251748251748253
Store_21_SKU213,4.470501329656263
Store_15_SKU544,3.7957254013592028
Store_8_SKU307,3.241406480843101
Store_1_SKU456,3.033881611346397
Store_21_SKU56,2.5870186151876275
Store_10_SKU408,2.2502708559046587
Store_12_SKU116,2.0340785974588784
Store_3_SKU548,1.8508815128533438
Store_11_SKU547,1.7035359007189985
Store_10_SKU205,1.3439377523884564
Store_1_SKU650,0.0
